"id","restaurant_id","method"
"916","230","Tunai"
"917","230","Debet"
"918","231","Tunai"
"919","231","Debet"
"920","232","Tunai"
"921","232","Visa"
"922","232","Master"
"923","232","Debet"
"924","234","Tunai"
"925","234","Visa"
"926","234","Master"
"927","234","Debet"
"928","234","Go-pay"
"929","234","Ovo"
"930","235","Tunai"
"931","235","Visa"
"932","235","Master"
"933","235","Debet"
"934","237","Tunai"
"935","237","Debet"
"936","238","Tunai"
"937","238","Visa"
"938","238","Master"
"939","238","Debet"
"940","238","Go-pay"
"941","238","Ovo"
"942","238","Dana"
"943","239","Tunai"
"944","239","Visa"
"945","239","Master"
"946","239","Debet"
"947","239","Go-pay"
"948","239","Ovo"
"949","239","Dana"
"950","240","Tunai"
"951","240","Visa"
"952","240","Master"
"953","240","Debet"
"954","240","Go-pay"
"955","240","Ovo"
"956","242","Tunai"
"957","242","Visa"
"958","242","Master"
"959","242","Debet"
"960","242","Go-pay"
"961","242","Ovo"
"962","242","Dana"
"963","243","Tunai"
"964","243","Visa"
"965","243","Master"
"966","243","Debet"
"967","243","Go-pay"
"968","243","Ovo"
"969","243","Dana"
"970","244","Tunai"
"971","244","Visa"
"972","244","Master"
"973","244","Debet"
"974","244","Go-pay"
"975","244","Ovo"
"976","244","Dana"
"977","245","Tunai"
"978","245","Visa"
"979","245","Master"
"980","245","Debet"
"981","245","Go-pay"
"982","245","Ovo"
"983","245","Dana"
"984","246","Tunai"
"985","246","Debet"
"986","246","Go-pay"
"987","246","Ovo"
"988","246","Dana"
"989","247","Tunai"
"990","247","Visa"
"991","247","Master"
"992","247","Debet"
"993","247","Go-pay"
"994","247","Ovo"
"995","247","Dana"
"996","248","Tunai"
"997","248","Debet"
"998","250","Tunai"
"999","250","Visa"
"1000","250","Master"
"1001","250","Debet"
"1002","250","Go-pay"
"1003","250","Ovo"
"1004","250","Dana"
"1005","251","Tunai"
"1006","251","Visa"
"1007","251","Master"
"1008","251","Debet"
"1009","251","Go-pay"
"1010","251","Ovo"
"1011","252","Tunai"
"1012","252","Visa"
"1013","252","Master"
"1014","252","Debet"
"1015","252","Go-pay"
"1016","252","Ovo"
"1017","253","Tunai"
"1018","253","Visa"
"1019","253","Master"
"1020","253","Debet"
"1021","253","Go-pay"
"1022","253","Ovo"
"1023","253","Dana"
"1024","254","Tunai"
"1025","254","Visa"
"1026","254","Master"
"1027","254","Debet"
"1028","254","Go-pay"
"1029","254","Ovo"
"1030","254","Dana"
"1031","255","Tunai"
"1032","255","Visa"
"1033","255","Master"
"1034","255","Debet"
"1035","255","Go-pay"
"1036","255","Ovo"
"1037","255","Dana"
"1038","256","Tunai"
"1039","256","Visa"
"1040","256","Master"
"1041","256","Debet"
"1042","257","Tunai"
"1043","257","Visa"
"1044","257","Master"
"1045","257","Debet"
"1046","257","Go-pay"
"1047","257","Ovo"
"1048","257","Dana"
"1049","258","Tunai"
"1050","258","Visa"
"1051","258","Master"
"1052","258","Debet"
"1053","258","Ovo"
"1054","259","Tunai"
"1055","259","Visa"
"1056","259","Master"
"1057","259","Debet"
"1058","260","Tunai"
"1059","261","Tunai"
"1060","261","Debet"
"1061","261","Go-pay"
"1062","261","Ovo"
"1063","261","Dana"
"1064","262","Tunai"
"1065","262","Debet"
"1066","262","Go-pay"
"1067","262","Ovo"
"1068","262","Dana"
"1069","263","Tunai"
"1070","264","Tunai"
"1071","265","Tunai"
"1072","266","Tunai"
"1073","267","Tunai"
"1074","268","Tunai"
"1075","269","Tunai"
"1076","270","Tunai"
"1077","271","Tunai"
"1078","272","Tunai"
"1079","273","Tunai"
"1080","274","Tunai"
"1081","275","Tunai"
"1082","276","Tunai"
"1083","276","Visa"
"1084","276","Master"
"1085","276","Debet"
"1086","276","QRIS"
"1087","277","Tunai"
"1088","278","Tunai"
"1089","278","Visa"
"1090","278","Master"
"1091","278","Debet"
"1092","278","Go-pay"
"1093","278","Ovo"
"1094","278","Dana"
"1095","278","QRIS"
"1096","279","Tunai"
"1097","279","QRIS"
"1098","280","Tunai"
"1099","280","Visa"
"1100","280","Master"
"1101","280","Debet"
"1102","281","Tunai"
"1103","281","Visa"
"1104","281","Master"
"1105","281","Debet"
"1106","282","Tunai"
"1107","282","Visa"
"1108","282","Master"
"1109","282","Debet"
"1110","283","Tunai"
"1111","283","Visa"
"1112","283","Master"
"1113","283","Debet"
"1114","284","Tunai"
"1115","284","Visa"
"1116","284","Master"
"1117","284","Debet"
"1118","286","Tunai"
"1119","286","Visa"
"1120","286","Master"
"1121","286","Debet"
"1122","287","Tunai"
"1123","287","Visa"
"1124","287","Master"
"1125","287","Debet"
"1126","288","Tunai"
"1127","288","Visa"
"1128","288","Master"
"1129","288","Debet"
"1130","289","Tunai"
"1131","289","Visa"
"1132","289","Master"
"1133","289","Debet"
"1134","289","Go-pay"
"1135","289","Ovo"
"1136","290","Tunai"
"1137","290","Visa"
"1138","290","Master"
"1139","290","Debet"
"1140","290","Go-pay"
"1141","291","Tunai"
"1142","292","Hanya Non-Tunai: Visa"
"1143","292","Master"
"1144","292","Debet"
"1145","292","Go-pay"
"1146","292","Ovo"
"1147","292","Dana"
"1148","293","Tunai"
"1149","294","Tunai"
"1150","294","Visa"
"1151","294","Master"
"1152","294","Debet"
"1153","294","Go-pay"
"1154","294","Ovo"
"1155","295","Tunai"
"1156","295","Visa"
"1157","295","Master"
"1158","295","Debet"
"1159","296","Tunai"
"1160","296","Debet"
"1161","296","Go-pay"
"1162","296","Ovo"
"1163","297","Tunai"
"1164","297","Visa"
"1165","297","Master"
"1166","297","Debet"
"1167","298","Tunai"
"1168","298","Visa"
"1169","298","Master"
"1170","298","Debet"
"1171","299","Tunai"
"1172","299","Visa"
"1173","299","Master"
"1174","299","Debet"
"1175","300","Tunai"
"1176","300","Visa"
"1177","300","Master"
"1178","300","Debet"
"1179","300","Go-pay"
"1180","300","Ovo"
"1181","300","Dana"
"1182","301","Tunai"
"1183","301","Go-pay"
"1184","301","Ovo"
"1185","301","Dana"
"1186","302","Tunai"
"1187","302","Visa"
"1188","302","Master"
"1189","302","Debet"
"1190","302","Go-pay"
"1191","302","Ovo"
