"id","restaurant_id","facility"
"922","192","Area merokok"
"923","192","Area outdoor"
"924","192","Bisa reservasi"
"925","192","Area parkir"
"926","193","Wifi"
"927","193","Pesan antar"
"928","193","Area merokok"
"929","193","Area outdoor"
"930","193","100% Halal"
"931","193","Bisa reservasi"
"932","193","Area parkir"
"933","194","Wifi"
"934","194","Area merokok"
"935","194","Area outdoor"
"936","194","100% Halal"
"937","194","Bisa reservasi"
"938","194","Area parkir"
"939","195","Wifi"
"940","195","Area merokok"
"941","195","Area outdoor"
"942","195","100% Halal"
"943","195","Bisa reservasi"
"944","195","Area parkir"
"945","196","Wifi"
"946","196","Area merokok"
"947","196","Area outdoor"
"948","196","100% Halal"
"949","196","Bisa reservasi"
"950","196","Area parkir"
"951","197","Wifi"
"952","197","Area merokok"
"953","197","Area outdoor"
"954","197","100% Halal"
"955","197","Bisa reservasi"
"956","197","Area parkir"
"957","198","Wifi"
"958","198","Area merokok"
"959","198","Area outdoor"
"960","198","Bisa reservasi"
"961","198","Area parkir"
"962","198","Alkohol"
"963","199","Wifi"
"964","199","Area merokok"
"965","199","Area outdoor"
"966","199","100% Halal"
"967","199","Bisa reservasi"
"968","199","Area parkir"
"969","200","Wifi"
"970","200","Area merokok"
"971","200","Area outdoor"
"972","200","100% Halal"
"973","200","Bisa reservasi"
"974","200","Area parkir"
"975","201","Wifi"
"976","201","Area merokok"
"977","201","Area outdoor"
"978","201","100% Halal"
"979","201","Bisa reservasi"
"980","201","Area parkir"
"981","202","Area merokok"
"982","202","Area outdoor"
"983","202","100% Halal"
"984","202","Bisa reservasi"
"985","202","Area parkir"
"986","203","Area merokok"
"987","203","Area outdoor"
"988","203","100% Halal"
"989","203","Ruang VIP"
"990","203","Bisa reservasi"
"991","203","Area parkir"
"992","204","Wifi"
"993","204","Area merokok"
"994","204","Area outdoor"
"995","204","100% Halal"
"996","204","Bisa reservasi"
"997","204","Area parkir"
"998","205","Wifi"
"999","205","Area merokok"
"1000","205","Area outdoor"
"1001","205","100% Halal"
"1002","205","Bisa reservasi"
"1003","205","Area parkir"
"1004","206","Wifi"
"1005","206","Area merokok"
"1006","206","Area outdoor"
"1007","206","100% Halal"
"1008","206","Bisa reservasi"
"1009","206","Area parkir"
"1010","207","Area merokok"
"1011","207","Area outdoor"
"1012","207","100% Halal"
"1013","207","Area parkir"
"1014","208","Wifi"
"1015","208","Area merokok"
"1016","208","Area outdoor"
"1017","208","100% Halal"
"1018","208","Bisa reservasi"
"1019","208","Area parkir"
"1020","209","Wifi"
"1021","209","Area merokok"
"1022","209","Area outdoor"
"1023","209","100% Halal"
"1024","209","Bisa reservasi"
"1025","209","Area parkir"
"1026","210","Wifi"
"1027","210","Area merokok"
"1028","210","Area outdoor"
"1029","210","100% Halal"
"1030","210","Bisa reservasi"
"1031","210","Area parkir"
"1032","211","Wifi"
"1033","211","Area merokok"
"1034","211","Area outdoor"
"1035","211","100% Halal"
"1036","211","Bisa reservasi"
"1037","211","Area parkir"
"1038","212","Wifi"
"1039","212","Area merokok"
"1040","212","Area outdoor"
"1041","212","100% Halal"
"1042","212","Bisa reservasi"
"1043","212","Area parkir"
"1044","213","Wifi"
"1045","213","Area merokok"
"1046","213","Area outdoor"
"1047","213","100% Halal"
"1048","213","Bisa reservasi"
"1049","213","Area parkir"
"1050","214","Pesan antar"
"1051","214","Area merokok"
"1052","214","Area outdoor"
"1053","214","100% Halal"
"1054","214","Bisa reservasi"
"1055","214","Area parkir"
"1056","215","Wifi"
"1057","215","Area merokok"
"1058","215","Area outdoor"
"1059","215","100% Halal"
"1060","215","Bisa reservasi"
"1061","215","Area parkir"
"1062","215","Alkohol"
"1063","216","Wifi"
"1064","216","Area merokok"
"1065","216","Area outdoor"
"1066","216","100% Halal"
"1067","216","Bisa reservasi"
"1068","216","Area parkir"
"1069","217","Wifi"
"1070","217","Area merokok"
"1071","217","Area outdoor"
"1072","217","100% Halal"
"1073","217","Bisa reservasi"
"1074","217","Area parkir"
"1075","218","Wifi"
"1076","218","Area merokok"
"1077","218","Area outdoor"
"1078","218","100% Halal"
"1079","218","Bisa reservasi"
"1080","218","Area parkir"
"1081","219","Wifi"
"1082","219","Area merokok"
"1083","219","Area outdoor"
"1084","219","100% Halal"
"1085","219","Bisa reservasi"
"1086","219","Area parkir"
"1087","220","Wifi"
"1088","220","Area merokok"
"1089","220","Area outdoor"
"1090","220","100% Halal"
"1091","220","Bisa reservasi"
"1092","220","Area parkir"
"1093","221","Wifi"
"1094","221","Area merokok"
"1095","221","Area outdoor"
"1096","221","100% Halal"
"1097","221","Bisa reservasi"
"1098","221","Area parkir"
"1099","222","Wifi"
"1100","222","Area merokok"
"1101","222","Area outdoor"
"1102","222","100% Halal"
"1103","222","Bisa reservasi"
"1104","222","Area parkir"
"1105","223","Wifi"
"1106","223","Area merokok"
"1107","223","Area outdoor"
